Error log data for Pathfinder
time, t_taken, offerror, angleerror, offsetpid, anglepid, output
1491945917114, 879, 11, 1, 16.51, 3.97, 152
1491945917361, 246, 11, 1, 4.28, 2.00, 138
1491945917415, 54, 11, 1, 4.74, 1.70, 138
1491945917478, 62, 9, 1, 1.10, 2.13, 135
1491945917520, 37, 8, 1, 2.33, 1.52, 135
1491945917603, 82, 7, 1, 1.82, 2.16, 135
1491945917661, 57, 6, 1, 1.92, 1.35, 135
1491945917723, 50, 6, 1, 2.73, 1.54, 136
1491945917785, 61, 6, 1, 2.61, 1.61, 136
1491945917836, 50, 5, 1, 1.13, 1.19, 134
1491945917877, 41, 5, 1, 1.80, 1.17, 134
1491945917931, 53, 4, 1, 0.51, 0.81, 133
1491945917982, 51, 3, 1, 0.74, 1.03, 133
1491945918093, 109, 1, 1, -1.89, 0.97, 131
1491945918129, 36, 0, 1, -1.08, 1.06, 131
1491945918209, 76, -1, 0, -2.38, 0.79, 130
1491945918282, 72, -2, 0, -1.25, 0.47, 131
1491945918318, 34, -2, 0, -1.85, 0.60, 130
1491945918411, 92, -3, 0, -2.61, 0.70, 130
1491945918483, 71, -5, 0, -3.20, 0.66, 129
1491945918547, 64, -5, 0, -3.07, 0.90, 129
1491945918587, 38, -6, 0, -3.88, 0.93, 129
1491945918660, 63, -7, 0, -4.02, 0.70, 128
1491945918696, 35, -8, 0, -3.53, 1.04, 129
1491945918786, 90, -10, 0, -6.31, 0.97, 126
1491945918857, 70, -9, 0, -3.49, 0.61, 129
1491945918908, 49, -10, 0, -4.36, 0.83, 128
1491945918979, 70, -8, 0, -2.06, 0.77, 130
1491945919048, 68, -7, 0, -2.09, 0.49, 130
1491945919127, 79, -6, 0, -1.97, 0.49, 130
1491945919196, 69, -5, 0, -0.81, -0.01, 131
1491945919251, 53, -3, 0, 0.21, 0.68, 132
1491945919312, 61, -3, 0, -1.26, 0.44, 131
1491945919354, 41, -1, 0, 1.73, -0.23, 133
1491945919445, 90, 0, 0, 2.13, 0.03, 134
1491945919514, 68, 0, 0, -0.61, 0.45, 131
1491945919581, 65, 0, 0, 0.59, -0.13, 132
1491945919646, 64, 0, 0, -1.19, 0.32, 131
1491945919715, 68, 0, 0, 0.08, 0.04, 132
1491945919778, 62, -2, 0, -2.58, 0.52, 129
1491945919846, 67, -3, 0, -3.03, 0.29, 129
1491945919928, 81, -3, 0, -1.87, 0.45, 130
1491945919985, 56, -5, 0, -4.42, 0.68, 128
1491945920050, 63, -6, 0, -3.32, 0.47, 129
1491945920117, 67, -6, 0, -3.12, 0.64, 129
1491945920184, 66, -8, 0, -4.82, 1.24, 128
1491945920223, 38, -10, 0, -5.81, 0.54, 126
1491945920313, 89, -11, 1, -6.52, 1.51, 126
1491945920380, 62, -11, 0, -4.76, 0.30, 127
1491945920444, 62, -11, 0, -4.62, 0.79, 128
1491945920512, 67, -9, 0, -1.81, 0.53, 130
1491945920591, 78, -5, 0, 2.69, 0.18, 134
1491945920632, 39, -1, 0, 2.30, 0.40, 134
1491945920714, 81, 3, 0, 6.38, 0.13, 138
1491945920766, 51, 3, 0, 1.28, 0.10, 133
1491945920836, 67, 3, 0, 2.39, -0.48, 133
1491945920904, 68, 2, 0, -0.30, 0.17, 131
1491945920974, 68, 0, 0, -3.49, -0.24, 128
1491945921048, 73, -3, 0, -4.29, 0.16, 127
1491945921095, 38, -6, 0, -4.95, 0.54, 127
1491945921201, 105, -7, 0, -4.84, -0.07, 127
1491945921267, 55, -7, 0, -3.35, 0.60, 129
