Error log data for Pathfinder
time, t_taken, offerror, angleerror, offsetpid, anglepid, output
1491939240352, 1093, -5, 2, -32.73, 4.06, 103
1491939240657, 303, -3, 1, 9.18, 1.76, 142
1491939240720, 62, 1, 1, 23.45, 0.86, 156
1491939240764, 43, 2, 1, 7.65, 1.43, 141
1491939240843, 78, 5, 1, 23.57, 1.24, 156
1491939240881, 38, 5, 1, 2.31, 2.13, 136
1491939240962, 80, 6, 1, 10.13, 1.37, 143
1491939241018, 56, 6, 1, 8.02, 0.93, 140
1491939241087, 68, 7, 0, 10.68, -0.06, 142
1491939241127, 39, 9, 1, 24.13, 1.42, 157
1491939241218, 91, 12, 0, 24.70, 0.14, 156
1491939241295, 75, 12, 0, 14.76, 0.43, 147
1491939241356, 61, 12, 0, 8.02, 0.51, 140
1491939241438, 81, 12, 0, 12.04, -0.80, 143
1491939241493, 54, 9, 0, -3.92, -0.31, 127
1491939241559, 65, 9, 0, 8.21, 0.78, 140
1491939241648, 88, 10, 0, 19.78, -0.07, 151
1491939241696, 48, 15, 0, 37.48, 0.38, 169
1491939241785, 75, 17, 0, 25.87, -1.02, 156
1491939241848, 63, 16, 0, 12.92, -1.00, 143
1491939241935, 86, 11, 0, -12.12, -0.48, 119
1491939241967, 32, 6, 0, -19.79, -0.02, 112
1491939242083, 115, 4, 0, -4.63, -0.87, 126
1491939242147, 64, 11, -1, 46.15, -2.36, 175
1491939242225, 77, 20, -1, 64.14, -2.30, 193
1491939242266, 40, 29, -1, 76.22, -2.09, 206
1491939242366, 99, 24, -1, 1.97, -0.36, 133
1491939242435, 61, 20, -1, -4.19, -2.07, 125
1491939242519, 83, 10, 0, -38.73, 0.22, 93
1491939242568, 48, -17, 0, -158.04, 1.30, 0
1491939242643, 64, -14, 0, 4.69, -0.56, 136
1491939242692, 48, -10, 0, 9.38, -1.43, 139
1491939242783, 89, 5, -2, 86.35, -3.39, 214
1491939242859, 75, 65, -2, 362.14, -3.45, 255
1491939242918, 58, 67, -2, 79.99, -2.34, 209
1491939242979, 60, 68, 0, 69.25, 1.75, 203
1491939243060, 80, 41, -2, -91.15, -3.72, 37
1491939243096, 35, -13, -1, -286.50, -0.47, 0
1491939243197, 100, -53, 0, -257.82, -0.36, 0
1491939243241, 41, -55, -1, -63.06, -1.65, 67
1491939243344, 102, -31, -3, 88.87, -5.33, 215
1491939243419, 74, 35, -3, 369.73, -3.87, 255
1491939243468, 48, 62, -3, 198.80, -2.70, 255
1491939243580, 110, 66, -1, 83.65, -0.30, 215
1491939243688, 108, 8, -1, -279.76, -0.32, 0
1491939243746, 58, -33, 0, -245.99, 0.67, 0
1491939243828, 80, -68, 2, -240.35, 4.79, 0
1491939243873, 41, -92, 1, -212.90, 1.16, 0
1491939243976, 103, -70, 0, 38.16, -0.21, 169
1491939244049, 72, -49, 0, 55.26, 1.13, 188
1491939244096, 47, -26, 0, 87.88, -2.22, 217
1491939244184, 87, 63, 1, 516.51, 2.67, 255
1491939244232, 48, 59, -1, 38.43, -3.50, 166
1491939244326, 93, 22, -1, -163.16, -1.61, 0
1491939244407, 81, 11, -1, -42.48, -1.92, 87
1491939244452, 44, -23, 0, -196.83, 2.51, 0
1491939244535, 82, -23, 0, -23.56, -0.66, 107
1491939244619, 84, -15, 0, 25.40, -0.59, 156
1491939244690, 69, -3, 0, 54.66, -1.45, 185
1491939244753, 62, 56, -2, 353.78, -4.63, 255
1491939244816, 61, 58, -3, 69.62, -4.66, 196
1491939244884, 68, 97, -4, 291.35, -4.95, 255
1491939244966, 81, 95, -5, 85.56, -6.81, 210
1491939245016, 49, 41, -5, -226.67, -5.30, 0
1491939245107, 91, 7, -3, -162.28, -1.31, 0
1491939245154, 46, -39, -2, -277.51, -0.72, 0
1491939245237, 83, -39, -2, -38.17, -3.11, 90
1491939245281, 43, -28, -3, 27.48, -3.71, 155
1491939245386, 104, 63, -5, 522.39, -8.59, 255
1491939245467, 80, 73, -5, 122.11, -4.57, 249
1491939245518, 51, 72, -5, 67.75, -5.62, 194
1491939245602, 83, 56, -4, -25.20, -4.55, 102
1491939245715, 112, 34, -4, -72.28, -3.12, 56
1491939245791, 75, -15, -3, -267.68, -2.67, 0
1491939245838, 46, -6, -3, 40.14, -4.35, 167
1491939245951, 112, 23, -5, 172.99, -6.44, 255
1491939245990, 38, 31, -5, 72.13, -6.68, 197
1491939246062, 71, 67, -1, 249.89, 2.05, 255
1491939246105, 41, 59, -4, 15.77, -7.33, 140
1491939246194, 88, 10, -3, -231.69, -2.61, 0
1491939246256, 61, -14, -3, -141.61, -2.73, 0
1491939246348, 92, -50, -1, -230.19, 0.67, 0
1491939246428, 80, -40, -3, 11.05, -5.36, 137
1491939246491, 61, -17, -3, 94.52, -3.51, 223
1491939246566, 75, 6, 0, 129.98, 3.79, 255
1491939246604, 37, 93, -2, 526.73, -4.58, 255
1491939246724, 119, 85, -2, 42.84, -1.87, 172
1491939246771, 47, 69, -4, -7.14, -7.64, 117
1491939246854, 81, 8, -2, -297.59, -1.14, 0
1491939246948, 93, -2, -3, -57.30, -3.96, 70
1491939247021, 73, 0, -4, 8.63, -5.69, 134
1491939247077, 54, 28, -6, 175.68, -7.87, 255
1491939247162, 84, 73, -6, 299.95, -7.17, 255
1491939247228, 64, 75, -6, 80.48, -7.25, 205
1491939247319, 91, 39, -5, -138.38, -3.32, 0
1491939247377, 54, -2, -3, -210.32, -1.46, 0
1491939247465, 85, -33, -2, -187.64, -1.94, 0
1491939247558, 82, -33, -4, -34.35, -6.35, 91
1491939247623, 64, -14, -4, 78.54, -4.95, 205
1491939247729, 105, 7, -4, 119.10, -5.16, 245
1491939247807, 78, 65, -5, 355.51, -5.07, 255
1491939247869, 60, 74, 1, 116.37, 7.22, 255
1491939247929, 58, 43, -4, -109.97, -10.25, 11
1491939247988, 58, 2, -3, -202.70, -1.62, 0
1491939248068, 78, -11, -2, -78.59, -1.30, 52
1491939248112, 44, -45, 0, -218.93, 1.71, 0
1491939248190, 77, -35, 0, 17.53, -1.24, 148
1491939248260, 68, -17, -1, 71.62, -1.74, 201
1491939248349, 88, -9, -1, 30.17, -1.85, 160
1491939248395, 45, 16, 0, 145.09, 1.12, 255
