Error log data for Pathfinder
time, t_taken, offerror, angleerror, offsetpid, anglepid, output
1491940368561, 885, -9, -1, -27.30, -2.44, 102
1491940368868, 307, -9, -2, -20.49, -3.35, 108
1491940368910, 41, -2, 0, 1.01, 1.33, 134
1491940369022, 112, -11, 0, -32.95, 0.61, 99
1491940369057, 34, -11, 0, -22.32, 0.89, 110
1491940369151, 92, -2, 1, 2.79, 1.72, 136
1491940369199, 46, -2, 1, -4.29, 1.52, 129
1491940369292, 91, 4, 0, 16.17, 0.10, 148
1491940369379, 87, 6, 0, 13.46, 1.29, 146
1491940369456, 76, 8, 0, 19.73, -0.41, 151
1491940369517, 60, 9, 0, 18.58, -0.33, 150
1491940369579, 58, 7, 0, 13.92, 0.32, 146
1491940369629, 49, 6, 0, 13.22, 0.21, 145
1491940369694, 65, 2, 0, -0.42, 0.56, 132
1491940369771, 76, -1, 0, -7.39, 1.31, 125
1491940369807, 31, -3, 0, -8.76, 0.98, 124
1491940369902, 94, -4, 0, -9.51, -0.05, 122
1491940369948, 45, -3, 0, -4.74, -0.48, 126
1491940370026, 77, 0, 0, 4.96, -0.43, 136
1491940370104, 72, 1, 0, 3.44, 1.45, 136
1491940370147, 41, 5, 0, 16.49, -2.44, 146
1491940370253, 106, 9, 0, 22.56, -1.04, 153
1491940370314, 60, 8, 0, 14.86, -0.58, 146
1491940370416, 101, 3, 0, 3.13, -0.23, 134
1491940370490, 70, 1, 0, 1.37, -0.33, 133
1491940370531, 39, -11, 0, -35.21, 1.49, 98
1491940370593, 60, -14, 0, -32.91, 1.22, 100
1491940370656, 62, -15, 1, -32.67, 1.52, 100
1491940370723, 66, -15, 1, -31.64, 1.31, 101
1491940370811, 87, -1, 0, 12.28, -1.69, 142
1491940370851, 40, 17, 0, 55.08, -1.08, 185
1491940370946, 90, 43, -2, 111.79, -3.62, 240
1491940370991, 45, 48, -2, 101.70, -2.86, 230
1491940371075, 82, 25, -3, 29.34, -3.56, 157
1491940371137, 53, 5, -2, -10.83, -1.21, 119
1491940371236, 98, -29, 0, -93.40, 0.63, 39
1491940371281, 40, -91, 2, -245.20, 5.58, 0
1491940371357, 75, -98, 4, -205.07, 6.72, 0
1491940371454, 94, -92, 5, -179.44, 5.60, 0
1491940371529, 75, -70, 4, -119.60, 3.59, 15
1491940371601, 70, -26, 2, -9.49, 0.96, 123
1491940371698, 87, -26, 2, -53.52, 2.65, 81
1491940371741, 42, -26, 2, -53.52, 2.65, 81
1491940371832, 90, -47, 27, -114.93, 52.56, 69
1491940371927, 85, -23, 26, -23.95, 25.08, 133
1491940371985, 58, -23, 26, -47.45, 26.34, 110
1491940372026, 39, -23, 26, -47.45, 26.34, 110
1491940372102, 76, -23, 26, -47.45, 26.34, 110
1491940372167, 57, -23, 26, -47.45, 26.34, 110
1491940372249, 81, -23, 26, -47.45, 26.34, 110
1491940372294, 40, -23, 26, -47.45, 26.34, 110
1491940372376, 81, -23, 26, -47.45, 26.34, 110
1491940372420, 43, -23, 26, -47.45, 26.34, 110
1491940372535, 114, -23, 26, -47.45, 26.34, 110
1491940372601, 64, -23, 26, -47.45, 26.34, 110
1491940372663, 61, -23, 26, -47.45, 26.34, 110
1491940372745, 81, -23, 26, -47.45, 26.34, 110
1491940372794, 47, -23, 26, -47.45, 26.34, 110
1491940372871, 76, -23, 26, -47.45, 26.34, 110
1491940372917, 44, -23, 26, -47.45, 26.34, 110
1491940373003, 84, -23, 26, -47.45, 26.34, 110
1491940373055, 51, -23, 26, -47.45, 26.34, 110
1491940373122, 66, -23, 26, -47.45, 26.34, 110
1491940373161, 37, -23, 26, -47.45, 26.34, 110
1491940373233, 72, -23, 26, -47.45, 26.34, 110
1491940373302, 60, -23, 26, -47.45, 26.34, 110
1491940373359, 56, -23, 26, -47.45, 26.34, 110
1491940373388, 29, -23, 26, -47.45, 26.34, 110
1491940373474, 85, -23, 26, -47.45, 26.34, 110
1491940373567, 91, -23, 26, -47.45, 26.34, 110
1491940373648, 80, -23, 26, -47.45, 26.34, 110
1491940373721, 65, -23, 26, -47.45, 26.34, 110
1491940373787, 64, -23, 26, -47.45, 26.34, 110
1491940373830, 43, -23, 26, -47.45, 26.34, 110
1491940373893, 62, -23, 26, -47.45, 26.34, 110
1491940373959, 65, -23, 26, -47.45, 26.34, 110
1491940374058, 94, -23, 26, -47.45, 26.34, 110
1491940374133, 72, -23, 26, -47.45, 26.34, 110
1491940374179, 45, -23, 26, -47.45, 26.34, 110
1491940374263, 83, -23, 26, -47.45, 26.34, 110
1491940374323, 59, -23, 26, -47.45, 26.34, 110
1491940374395, 70, -23, 26, -47.45, 26.34, 110
1491940374458, 61, -23, 26, -47.45, 26.34, 110
1491940374526, 68, -23, 26, -47.45, 26.34, 110
1491940374626, 99, -23, 26, -47.45, 26.34, 110
1491940374686, 59, -23, 26, -47.45, 26.34, 110
1491940374719, 30, -23, 26, -47.45, 26.34, 110
1491940374801, 82, -23, 26, -47.45, 26.34, 110
1491940374866, 43, -23, 26, -47.45, 26.34, 110
