Error log data for Pathfinder
time, t_taken, offerror, angleerror, offsetpid, anglepid, output
1491945522135, 47, -49, 1, -18.01, 1.66, 115
1491945522215, 79, -37, 14, -2.14, 27.35, 157
1491945522292, 76, -38, 1, -16.80, -11.76, 103
1491945522355, 54, -38, 1, -14.90, 1.29, 118
1491945522441, 85, -38, 1, -15.13, 1.56, 118
1491945522505, 62, -42, 2, -21.46, 3.42, 113
1491945522571, 65, -40, 2, -14.44, 1.87, 119
1491945522653, 80, -38, 2, -13.04, 3.05, 122
1491945522703, 49, -36, 2, -12.15, 2.75, 122
1491945522789, 84, -29, 2, -5.56, 2.84, 129
1491945522841, 52, -27, 2, -8.29, 2.50, 126
1491945522967, 125, -21, 2, -2.39, 2.39, 132
1491945523034, 66, -18, 2, -5.07, 2.68, 129
1491945523113, 79, -17, 2, -5.81, 2.33, 128
1491945523176, 61, -14, 2, -2.24, 2.57, 132
1491945523241, 64, -13, 2, -5.01, 2.17, 129
1491945523307, 64, -12, 2, -4.40, 2.14, 129
1491945523395, 86, -10, 2, -1.98, 1.81, 131
1491945523469, 74, -9, 1, -3.03, 1.65, 130
1491945523525, 48, -6, 1, 0.32, 1.07, 133
1491945523609, 83, -3, 1, 1.39, 0.71, 134
1491945523675, 65, -2, 0, 0.38, 0.65, 133
1491945523774, 98, -1, 0, 0.37, 0.68, 133
1491945523866, 91, 1, 0, 3.56, 0.40, 135
1491945523917, 51, 3, 0, 2.74, -0.29, 134
1491945523993, 64, 3, 0, 1.88, -0.13, 133
1491945524075, 82, 3, 0, 1.07, -0.37, 132
1491945524155, 78, 4, 0, 2.37, -0.14, 134
1491945524193, 33, 4, 0, 1.63, -0.38, 133
1491945524266, 72, 4, 0, 1.58, -0.71, 132
1491945524318, 50, 3, 0, 0.83, -0.38, 132
1491945524393, 62, 2, 0, -0.16, -0.81, 131
1491945524442, 49, 1, 0, -0.67, -0.34, 130
1491945524506, 62, 0, 0, 0.03, -0.76, 131
1491945524577, 70, 0, 0, -0.58, -0.64, 130
1491945524646, 68, 0, 0, -0.30, -0.62, 131
1491945524711, 63, -1, 0, -1.62, -0.33, 130
1491945524795, 83, -1, 0, -0.92, -0.70, 130
1491945524825, 30, -2, 0, -1.49, 0.02, 130
1491945524935, 109, -3, 0, -2.82, -0.14, 129
1491945525027, 91, -3, 0, -1.45, 0.31, 130
1491945525074, 47, -4, 0, -2.70, -0.20, 129
1491945525154, 78, -5, 0, -3.59, 1.11, 129
1491945525216, 61, -5, 0, -2.59, 0.30, 129
1491945525303, 79, -6, 0, -3.82, 0.76, 128
1491945525378, 75, -7, 0, -4.03, 0.78, 128
1491945525450, 70, -8, 0, -3.54, 0.87, 129
1491945525511, 46, -8, 0, -3.46, 0.51, 129
1491945525588, 76, -9, 0, -5.06, 0.97, 127
1491945525663, 75, -9, 0, -3.28, 0.95, 129
1491945525747, 81, -10, 0, -4.90, 0.60, 127
1491945525831, 84, -8, 0, -2.30, 0.72, 130
1491945525906, 74, -6, 0, -0.16, 0.83, 132
1491945525982, 75, -4, 0, 0.70, 0.46, 133
1491945526081, 94, -1, 0, 1.28, 0.19, 133
1491945526140, 58, 1, 0, 3.90, -0.30, 135
1491945526209, 68, 1, 0, 0.23, -0.03, 132
1491945526268, 58, 2, 0, 1.98, -0.62, 133
1491945526301, 31, 0, 0, -0.88, -0.32, 130
1491945526379, 73, 0, 0, 0.39, 0.01, 132
1491945526447, 67, -1, 0, -3.55, -0.28, 128
1491945526515, 68, -1, 0, -0.85, 0.17, 131
1491945526605, 81, -3, 0, -2.49, -0.91, 128
1491945526681, 75, 0, -1, 3.78, -2.46, 133
1491945526725, 44, 0, -1, 0.64, -1.34, 131
1491945526792, 66, 0, -1, -0.46, -1.18, 130
1491945526846, 52, 0, 0, -0.05, -0.64, 131
1491945526909, 62, -2, 0, -3.26, -0.92, 127
1491945526996, 86, -2, 0, -1.35, -0.43, 130
1491945527048, 51, -4, 0, -3.11, -0.73, 128
1491945527127, 79, -4, 0, -1.94, -0.10, 129
1491945527229, 101, -5, 0, -3.15, 0.63, 129
1491945527275, 45, -4, 0, -0.62, 0.39, 131
1491945527356, 79, -2, 0, 0.58, -0.79, 131
1491945527408, 52, 0, 0, 1.94, -0.68, 133
1491945527481, 72, 1, 0, 2.18, -0.38, 133
1491945527534, 40, 1, 0, 0.40, 0.42, 132
1491945527591, 57, 2, 0, 2.53, 1.90, 136
1491945527648, 48, 2, 3, 0.43, 5.19, 137
1491945527699, 50, 1, 4, 0.31, 6.25, 138
1491945527786, 83, 9, 9, 11.10, 14.65, 157
1491945527828, 41, 16, 14, 13.92, 18.42, 164
1491945527915, 82, 36, 18, 34.16, 22.72, 188
1491945527992, 66, 40, 20, 19.96, 21.75, 173
1491945528069, 68, 50, 20, 31.18, 21.46, 184
1491945528179, 109, 45, 19, 12.08, 18.43, 162
1491945528246, 66, 46, 18, 20.39, 18.26, 170
1491945528314, 66, 41, 18, 10.79, 18.72, 161
1491945528380, 57, 45, 18, 22.23, 18.08, 172
1491945528460, 79, 52, 19, 27.72, 20.44, 180
1491945528505, 45, 53, 20, 23.28, 21.77, 177
1491945528602, 95, 64, 23, 36.71, 26.30, 195
1491945528644, 42, 63, 24, 23.65, 25.34, 180
1491945528730, 84, 59, 28, 20.84, 31.82, 184
1491945528774, 43, 61, 28, 26.61, 29.37, 187
1491945528837, 61, 62, 27, 25.34, 25.31, 182
1491945528921, 83, 66, 26, 30.43, 25.74, 188
1491945528950, 29, 69, 28, 30.94, 30.90, 193
1491945529049, 98, 77, 29, 38.45, 30.82, 201
1491945529116, 57, 74, 31, 27.92, 32.46, 192
1491945529168, 52, 74, 30, 28.97, 29.64, 190
1491945529246, 76, 73, 29, 28.43, 28.39, 188
1491945529329, 83, 74, 25, 30.44, 22.60, 185
1491945529397, 66, 71, 25, 26.06, 24.42, 182
1491945529472, 73, 70, 26, 27.20, 27.41, 186
1491945529534, 61, 62, 28, 17.61, 30.04, 179
1491945529573, 37, 61, 28, 23.16, 29.27, 184
1491945529661, 87, 64, 30, 28.78, 31.75, 192
1491945529711, 48, 65, 30, 26.85, 30.77, 189
1491945529788, 76, 78, 29, 44.32, 27.52, 203
1491945529844, 55, 82, 27, 37.79, 25.84, 195
1491945529909, 64, 83, 26, 34.19, 24.75, 190
1491945529993, 83, 83, 24, 32.76, 23.08, 187
1491945530044, 46, 76, 23, 24.46, 21.91, 178
1491945530128, 83, 76, 22, 29.72, 20.78, 182
1491945530205, 75, 72, 21, 25.03, 21.76, 178
1491945530273, 67, 69, 26, 25.64, 30.18, 187
1491945530311, 37, 68, 28, 26.33, 30.22, 188
1491945530398, 86, 69, 33, 28.85, 38.23, 199
1491945530468, 70, 71, 34, 30.57, 35.00, 197
1491945530528, 58, 82, 30, 43.46, 26.89, 202
1491945530582, 46, 84, 29, 35.59, 28.42, 196
1491945530682, 99, 89, 24, 41.50, 18.71, 192
1491945530722, 39, 87, 22, 33.36, 21.53, 186
1491945530809, 85, 74, 24, 16.61, 25.55, 174
1491945530868, 58, 73, 24, 28.78, 25.17, 185
1491945530947, 78, 71, 25, 25.68, 26.51, 184
1491945531013, 56, 67, 28, 23.77, 30.70, 186
1491945531081, 68, 70, 27, 31.30, 26.19, 189
1491945531139, 54, 80, 24, 41.76, 21.52, 195
1491945531204, 64, 86, 22, 40.36, 20.52, 192
1491945531250, 43, 85, 22, 33.84, 22.81, 188
1491945531354, 102, 76, 22, 20.91, 22.58, 175
1491945531406, 52, 71, 21, 24.18, 20.51, 176
1491945531482, 74, 72, 20, 30.23, 19.59, 181
1491945531547, 65, 75, 20, 32.23, 19.85, 184
1491945531591, 43, 74, 15, 29.92, 11.66, 173
